type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,id
white,6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6,488
white,7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6,489
white,7.4,0.26,0.31,7.6,0.047,52,177,0.9962,3.13,0.45,8.9,6,490
white,7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6,491
white,7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,7,492
white,7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,6,493
white,6.3,0.19,0.28,1.8,0.022,28,158,0.9907,3.2,0.64,11.4,6,494
white,6.8,0.2,0.38,4.7,0.04,27,103,0.994,3.37,0.58,10.7,6,495
white,5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5,6,496
white,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,497
white,6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,6,498
white,5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5,499
white,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,500
red,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,501
red,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,502
red,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,503
red,11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,504
red,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,505
red,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,506
red,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,507
red,7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,508
red,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,509
red,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,510
red,6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,511
red,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,512
red,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,513
red,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,514
red,8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,515
red,8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,516
red,8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,517
red,8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,518
red,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,519
red,7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,520
red,8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6,521
red,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,522
red,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,523
red,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,524
red,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,525
red,6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,526
red,7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,527
red,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,528
red,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,529
red,7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,530
red,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,531
red,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,532
red,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,533
red,6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6,534
red,5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,535
red,7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,536
red,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,537
red,8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,538
red,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,539
red,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,540
red,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,541
red,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,542
red,7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,543
red,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,544
red,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5,545
red,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,546
red,7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,547
red,8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,548
red,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,549
red,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,550
red,8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,551
red,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,552
red,6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,553
red,8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,554
red,7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,555
red,7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5,556
red,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,557
red,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5,558
red,7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,559
red,7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,560
red,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,561
red,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,562
red,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7,563
red,7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,564
red,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,565
red,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,566
red,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,567
red,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,568
red,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,569
red,8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,570
red,7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,571
red,7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5,572
red,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,573
red,8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,574
red,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5,575
red,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,576
red,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,577
red,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,578
red,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,579
red,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,580
red,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,581
red,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5,582
red,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,583
red,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,584
red,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,585
red,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,586
red,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,587
red,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,588
red,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,589
red,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,590
red,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,591
red,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,592
red,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,593
red,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,594
red,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,595
red,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,596
red,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,597
red,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5,598
red,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,599
red,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,600
red,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,601
red,7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6,602
red,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,603
red,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,604
red,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,605
red,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,606
red,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,607
red,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,608
red,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,609
red,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,610
red,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,611
red,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,612
red,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,613
red,10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,614
red,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,615
red,9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,616
red,8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,617
red,7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6,618
red,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,619
red,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,620
red,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,621
red,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,622
red,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,623
red,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,624
red,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,625
red,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,626
red,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,627
red,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,628
red,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,629
red,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5,630
red,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,631
red,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,632
red,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,633
red,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6,634
red,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,635
red,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,636
red,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,637
red,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,638
red,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,639
red,7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5,640
red,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,641
red,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,642
red,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,643
red,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,644
red,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,645
red,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,646
red,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,647
red,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,648
red,6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,649
red,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6,650
red,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,651
red,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4,652
red,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,653
red,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,654
red,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,655
red,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,656
red,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,657
red,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,658
red,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5,659
red,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,660
red,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,661
red,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,662
red,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6,663
red,7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5,664
red,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,665
red,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,666
red,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5,667
red,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,668
red,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,669
red,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5,670
red,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,671
red,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,672
red,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,673
red,7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,674
red,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,675
red,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,676
red,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,677
red,7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6,678
red,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5,679
red,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,680
red,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,681
red,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5,682
red,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5,683
red,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5,684
red,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,685
red,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5,686
red,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,687
red,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5,688
red,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5,689
red,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,690
red,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5,691
red,6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6,692
red,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5,693
red,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,694
red,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,695
red,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,696
red,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5,697
red,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6,698
red,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7,699
red,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4,700
red,9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7,701
red,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5,702
red,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5,703
red,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5,704
red,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6,705
red,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,706
red,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,707
red,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5,708
red,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5,709
red,11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7,710
red,9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6,711
red,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6,712
red,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6,713
red,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5,714
red,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6,715
red,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5,716
red,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5,717
red,8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5,718
red,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5,719
red,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5,720
red,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,721
red,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5,722
red,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,723
red,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,724
red,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,4,725
red,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,726
red,8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6,727
red,9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5,728
red,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,729
red,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,730
red,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7,731
red,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6,732
red,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6,733
red,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,734
red,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,735
red,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,736
red,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,737
red,7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6,738
red,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,739
red,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,740
red,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5,741
red,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6,742
red,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6,743
